title,url,imdbRating,duration,year,Action,Adventure,Animation,Comedy,Crime,Drama,Horror,Romance,Science-Fiction,Thriller,,,,
The Trip (TV Series 2010– ),http://www.imdb.com/title/tt1698441/,8.3,10320,2010,0,0,0,1,0,0,0,0,0,0,,,,
Late Show with David Letterman Luke Wilson/Kristen Schaal/Dierks Bentley (TV Episode 2010),http://www.imdb.com/title/tt1698965/,8.7,3600,2010,0,0,0,1,0,0,0,0,0,0,,,,
4 Tage im Mai (2011),http://www.imdb.com/title/tt1699202/,6.2,5820,2011,0,0,0,0,0,1,0,0,0,0,,,,
Jian dang wei ye (2011),http://www.imdb.com/title/tt1699513/,2.3,8400,2011,0,0,0,0,0,1,0,0,0,0,,,,
Hollywood's Top Ten (TV Series 2010– ),http://www.imdb.com/title/tt1699756/,7,1800,2010,0,0,0,0,0,0,0,0,0,0,,,,
The Rotten Tomatoes Show Knight and Day/I Am Love/The Killer Inside Me (TV Episode 2010),http://www.imdb.com/title/tt1701914/,,1800,2010,0,0,0,1,0,0,0,0,0,0,,,,
The Rotten Tomatoes Show The A-Team/The Karate Kid/Winter's Bone (TV Episode 2010),http://www.imdb.com/title/tt1701917/,,1800,2010,0,0,0,1,0,0,0,0,0,0,,,,
Family Guy - Es ist eine Falle! (Video 2010),http://www.imdb.com/title/tt1701991/,7.2,3360,2010,0,0,1,1,0,0,0,0,1,0,,,,
An Idiot Abroad (TV Series 2010– ),http://www.imdb.com/title/tt1702042/,8.3,3600,2010,0,0,0,1,0,0,0,0,0,0,,,,
Making of 'Süsse Stuten 7' (Video 2010),http://www.imdb.com/title/tt1702381/,5.9,3360,2010,0,0,0,1,0,0,0,0,0,0,,,,
Kung Fu Panda - Ein schlagfertiges Winterfest (TV Short 2010),http://www.imdb.com/title/tt1702433/,6.9,1260,2010,0,0,1,1,0,0,0,0,0,0,,,,
Wilfred (TV Series 2011– ),http://www.imdb.com/title/tt1703925/,7.9,1800,2011,0,0,0,1,0,0,0,0,0,0,,,,
Tezz (2012),http://www.imdb.com/title/tt1706317/,3.9,,2012,1,0,0,0,0,1,0,0,0,0,,,,
Chronicle - Wozu bist du fähig? (2012),http://www.imdb.com/title/tt1706593/,7.1,5040,2012,0,0,0,0,0,1,0,0,1,1,,,,
The Boondocks It's Goin' Down (TV Episode 2010),http://www.imdb.com/title/tt1707082/,7.5,1200,2010,1,0,1,1,0,0,0,0,0,0,,,,
Les Misérables (2012),http://www.imdb.com/title/tt1707386/,7.7,9480,2012,0,0,0,0,0,1,0,1,0,0,,,,
The Crazies (TV Series 2010– ),http://www.imdb.com/title/tt1707815/,5.8,,2010,0,0,1,0,0,0,1,0,0,0,,,,
Ready (2011),http://www.imdb.com/title/tt1708532/,4.6,,2011,0,0,0,1,0,0,0,1,0,0,,,,
The Last Days on Mars (2013),http://www.imdb.com/title/tt1709143/,5.5,5880,2013,0,0,0,0,0,0,1,0,1,1,,,,
Tomorrow\, and Today (Video 2010),tomorrow yesterday and today video,7.1,10,0,0,0,0,0,0,0,0,0,0,0,0,,
21 & Over (2013),http://www.imdb.com/title/tt1711425/,5.8,5580,2013,0,0,0,1,0,0,0,0,0,0,,,,
The Bay (2012),http://www.imdb.com/title/tt1713476/,5.6,5040,2012,0,0,0,0,0,0,1,0,1,1,,,,
Who Wants to Be a Millionaire Episode #8.169 (TV Episode 2010),http://www.imdb.com/title/tt1713934/,,1800,2010,0,0,0,0,0,0,0,0,0,0,,,,
De Bende van Oss (2011),http://www.imdb.com/title/tt1714193/,6.4,6600,2011,0,0,0,0,1,1,0,0,0,0,,,,
Do Dooni Chaar (2010),http://www.imdb.com/title/tt1714832/,7.7,,2010,0,0,0,1,0,1,0,0,0,0,,,,
Sex on the Beach (2011),http://www.imdb.com/title/tt1716772/,6.8,5820,2011,0,0,0,1,0,0,0,0,0,0,,,,
Zeit zu leben (2012),http://www.imdb.com/title/tt1716777/,7.1,6840,2012,0,0,0,0,0,1,0,0,0,0,,,,
Great TV Mistakes (TV Movie 2010),http://www.imdb.com/title/tt1717613/,4.7,7200,2010,0,0,0,0,0,0,0,0,0,0,,,,
Disney-Land (TV Series 1954–1992),http://www.imdb.com/title/tt0046593/,8.5,7200,1992,0,1,0,0,0,1,0,0,0,0,,,,
Mad (TV Series 2010– ),http://www.imdb.com/title/tt1718438/,5.7,,2010,0,0,1,1,0,0,0,0,0,0,,,,
The Real Housewives of Beverly Hills (TV Series 2010– ),http://www.imdb.com/title/tt1720601/,4.3,2640,2010,0,0,0,0,0,0,0,0,0,0,,,,
Neverland - Reise in das Land der Abenteuer (TV Mini-Series 2011),http://www.imdb.com/title/tt1720619/,6.5,10800,2011,0,1,0,0,0,0,0,0,0,0,,,,
The Other Guys NYPD Recruitment Video (Video 2010),http://www.imdb.com/title/tt1721102/,6.1,,2010,0,0,0,1,0,0,0,0,0,0,,,,
Auf den Spuren des Marsupilami (2012),http://www.imdb.com/title/tt1723642/,5.5,6300,2012,0,1,0,1,0,0,0,0,0,0,,,,
Vater ist der Beste (TV Series 1954–1960),http://www.imdb.com/title/tt0046600/,7.6,1800,1960,0,0,0,1,0,0,0,0,0,0,,,,
Girls (TV Series 2012– ),http://www.imdb.com/title/tt1723816/,7.5,1800,2012,0,0,0,1,0,1,0,0,0,0,,,,
Dr. House Two Stories (TV Episode 2011),http://www.imdb.com/title/tt1726374/,9.1,2640,2011,0,0,0,0,0,1,0,0,0,0,,,,
Killer Joe (2011),http://www.imdb.com/title/tt1726669/,6.7,6120,2011,0,0,0,0,1,0,0,0,0,1,,,,
Livide (2011),http://www.imdb.com/title/tt1727516/,5.7,5520,2011,0,0,0,0,0,0,1,0,0,0,,,,
Rules of Engagement Handy Man (TV Episode 2010),http://www.imdb.com/title/tt1729101/,7.9,1260,2010,0,0,0,1,0,0,0,1,0,0,,,,
Lassie (TV Series 1954–1974),http://www.imdb.com/title/tt0046617/,6.6,1800,1974,0,1,0,0,0,1,0,0,0,0,,,,
Bodyguard (2011),http://www.imdb.com/title/tt1729637/,4.4,7800,2011,1,0,0,1,0,0,0,1,0,0,,,,
The Tonight Show with Jay Leno Episode #19.2 (TV Episode 2010),http://www.imdb.com/title/tt1730045/,2.8,3720,2010,0,0,0,1,0,0,0,0,0,0,,,,
Milf (Video 2010),http://www.imdb.com/title/tt1730704/,3.8,5280,2010,0,0,0,1,0,0,0,0,0,0,,,,
Ender's Game - Das große Spiel (2013),http://www.imdb.com/title/tt1731141/,6.8,6840,2013,1,0,0,0,0,0,0,0,1,0,,,,
Maltin on Movies Secretariat (TV Episode 2010),http://www.imdb.com/title/tt1733400/,,1800,2010,0,0,0,0,0,0,0,0,0,0,,,,
No One Killed Jessica (2011),http://www.imdb.com/title/tt1734110/,7.2,8160,2011,0,0,0,0,1,1,0,0,0,1,,,,
Jabberwock (TV Movie 2011),http://www.imdb.com/title/tt1734203/,3.4,4980,2011,1,1,0,0,0,0,0,0,0,0,,,,
The Lineup (TV Series 1954–1960),http://www.imdb.com/title/tt0046618/,8,3600,1960,0,0,0,0,0,1,0,0,0,0,,,,
Any Questions for Ben? (2012),http://www.imdb.com/title/tt1735839/,5.8,,2012,0,0,0,1,0,0,0,1,0,0,,,,
The Talk (TV Series 2010– ),http://www.imdb.com/title/tt1740718/,4,3600,2010,0,0,0,0,0,0,0,0,0,0,,,,
Mister President (TV Movie 2008),http://www.imdb.com/title/tt1741236/,,,2008,0,0,0,0,0,0,0,0,0,0,,,,
Producers' Showcase (TV Series 1954–1957),http://www.imdb.com/title/tt0046637/,8.1,5400,1957,0,0,0,1,0,1,0,0,0,0,,,,
Suburgatory (TV Series 2011–2014),http://www.imdb.com/title/tt1741256/,7.3,1320,2011,0,0,0,1,0,0,0,0,0,0,,,,
Natholdet - med Anders Breinholt (TV Series 2010– ),http://www.imdb.com/title/tt1741602/,7.7,,2010,0,0,0,0,0,0,0,0,0,0,,,,
Meine beste Freundin\,meine beste freundin ihre schwester und ich,http://www.imdb.com/title/tt1742336/,15609,5400,2,0,0,0,1,0,0,0,0,0,0,,,
A History of Horror with Mark Gatiss Frankenstein Goes to Hollywood (TV Episode 2010),http://www.imdb.com/title/tt1742349/,8,3540,2010,0,0,0,0,0,0,0,0,0,0,,,,
IMDb's 20th Anniversary Star of the Day Blair Underwood (TV Episode 2010),http://www.imdb.com/title/tt1742465/,,,2010,0,0,0,0,0,0,0,0,0,0,,,,
Der ganz normale Wahnsinn - Working Mum (2011),http://www.imdb.com/title/tt1742650/,4.8,5340,2011,0,0,0,1,0,0,0,0,0,0,,,,
Jane by Design (TV Series 2011– ),http://www.imdb.com/title/tt1743904/,7.3,2640,2011,0,0,0,1,0,1,0,0,0,0,,,,
Tonight! (TV Series 1953–1957),http://www.imdb.com/title/tt0046652/,7,6300,1957,0,0,0,1,0,0,0,0,0,0,,,,
PhoneShop Never on a Tuesday (TV Episode 2010),http://www.imdb.com/title/tt1746070/,7.6,1800,2010,0,0,0,1,0,0,0,0,0,0,,,,
Ask That Guy with the Glasses (TV Series 2008– ),http://www.imdb.com/title/tt1746682/,7.7,300,2008,0,0,0,1,0,0,0,0,0,0,,,,
Swamp People (TV Series 2010– ),http://www.imdb.com/title/tt1747551/,6.4,,2010,1,0,0,0,0,0,0,0,0,0,,,,
You Know What's Bullshit (TV Series 2007– ),http://www.imdb.com/title/tt1747894/,8,300,2007,0,0,0,1,0,0,0,0,0,0,,,,
Ninjas vs. Vampires (2010),http://www.imdb.com/title/tt1748134/,2.9,5340,2010,1,0,0,1,0,0,0,0,0,0,,,,
The Hour Episode #7.24 (TV Episode 2010),http://www.imdb.com/title/tt1752382/,,3600,2010,0,0,0,1,0,0,0,0,0,0,,,,
You Know What's Bullshit Hotel TV's (TV Episode 2009),http://www.imdb.com/title/tt1753307/,7.3,300,2009,0,0,0,1,0,0,0,0,0,0,,,,
Resident Evil: Damnation (2012),http://www.imdb.com/title/tt1753496/,6.5,6000,2012,1,0,1,0,0,0,1,0,0,0,,,,
Buck - Der wahre Pferdeflüsterer (2011),http://www.imdb.com/title/tt1753549/,7.6,5280,2011,0,0,0,0,0,0,0,0,0,0,,,,
Jackass 3.5 (Video 2011),http://www.imdb.com/title/tt1753968/,6.8,5040,2011,0,0,0,1,0,0,0,0,0,0,,,,
Le Lac des cygnes (TV Movie 2010),http://www.imdb.com/title/tt1754561/,,8340,2010,0,0,0,0,0,0,0,0,0,0,,,,
The Lamp (2011),http://www.imdb.com/title/tt1754648/,5.5,5760,2011,0,0,0,0,0,1,0,0,0,0,,,,
The Bloodiest Show on Earth: Making Vampire Circus (Video 2010),http://www.imdb.com/title/tt1756790/,5.7,2040,2010,0,0,0,0,0,0,0,0,0,0,,,,
Die Tochter des Kalifen (1954),http://www.imdb.com/title/tt0046683/,5.9,5640,1954,1,1,0,0,0,0,0,1,0,0,,,,
The Day - Fight. Or Die. (2011),http://www.imdb.com/title/tt1756799/,5.2,5220,2011,1,0,0,0,0,1,1,0,0,0,,,,
American Restoration (TV Series 2010– ),http://www.imdb.com/title/tt1756927/,6.8,,2010,0,0,0,0,0,0,0,0,0,0,,,,
Like Crazy (2011),http://www.imdb.com/title/tt1758692/,6.7,5400,2011,0,0,0,0,0,1,0,1,0,0,,,,
Die To-Do Liste (2013),http://www.imdb.com/title/tt1758795/,5.8,6240,2013,0,0,0,1,0,0,0,0,0,0,,,,
Immer Ärger mit 40 (2012),http://www.imdb.com/title/tt1758830/,6.2,8040,2012,0,0,0,1,0,0,0,0,0,0,,,,
The Adventures of Huckleberry Finn (TV Movie 1955),http://www.imdb.com/title/tt0046684/,6.4,3600,1955,0,0,0,0,0,1,0,0,0,0,,,,
Edición Especial Coleccionista Pack Asterix (TV Episode 2010),http://www.imdb.com/title/tt1759037/,,540,2010,0,0,0,1,0,0,0,0,0,0,,,,
Moguls & Movie Stars: A History of Hollywood (TV Mini-Series 2010),http://www.imdb.com/title/tt1759310/,7.9,,2010,0,0,0,0,0,0,0,0,0,0,,,,
Skins - Hautnah Alo (TV Episode 2011),http://www.imdb.com/title/tt1759383/,7.6,2760,2011,0,0,0,1,0,1,0,0,0,0,,,,
Tad Stones - Der verlorene Jäger des Schatzes! (2012),http://www.imdb.com/title/tt1764625/,5.9,5520,2012,0,1,1,1,0,0,0,0,0,0,,,,
The Onion News Network Fifth Anniversary (TV Episode 2011),http://www.imdb.com/title/tt1765544/,6.3,1320,2011,0,0,0,1,0,0,0,0,0,0,,,,
Shut Up Little Man! An Audio Misadventure (2011),http://www.imdb.com/title/tt1766085/,6.6,5400,2011,0,0,0,1,0,0,0,0,0,0,,,,
Odd Thomas (2013),http://www.imdb.com/title/tt1767354/,6.8,5820,2013,0,0,0,0,0,0,0,0,0,1,,,,
Beverly of Graustark (1926),http://www.imdb.com/title/tt0016646/,7.9,4200,1926,0,0,0,1,0,0,0,1,0,0,,,,
Das verborgene Gesicht (2011),http://www.imdb.com/title/tt1772250/,7.3,5820,2011,0,0,0,0,0,1,0,0,0,1,,,,
Ralph reicht's (2012),http://www.imdb.com/title/tt1772341/,7.8,6060,2012,0,1,1,1,0,0,0,0,0,0,,,,
Game (2011),http://www.imdb.com/title/tt1772872/,5.1,8100,2011,1,0,0,0,1,1,0,0,0,0,,,,
Yamla Pagla Deewana (2011),http://www.imdb.com/title/tt1773109/,5.7,,2011,1,0,0,1,0,1,0,0,0,0,,,,
7 Days (TV Series 2009– ),http://www.imdb.com/title/tt1773120/,8.6,1800,2009,0,0,0,1,0,0,0,0,0,0,,,,
Maho Shojo Madoka Magica (TV Series 2011– ),http://www.imdb.com/title/tt1773185/,8.4,,2011,0,0,1,0,0,0,0,0,0,0,,,,
Die barfüßige Gräfin (1954),http://www.imdb.com/title/tt0046754/,7.1,7680,1954,0,0,0,0,1,1,0,0,0,0,,,,
Room 13: The Terrorist Project (2003),http://www.imdb.com/title/tt1774549/,5.8,,2003,0,0,0,0,0,0,0,0,0,1,,,,
Spartacus: Gods of the Arena Past Transgressions (TV Episode 2011),http://www.imdb.com/title/tt1775926/,8.9,3060,2011,1,1,0,0,0,0,0,0,0,0,,,,
Zug um Zug in den Wahnsinn (2011),http://www.imdb.com/title/tt1777551/,7.4,5580,2011,0,0,0,0,0,0,0,0,0,0,,,,
The Hour (TV Series 2011– ),http://www.imdb.com/title/tt1778108/,7.9,,2011,0,0,0,0,0,1,0,0,0,0,,,,
Paranormal Activity 3 (2011),http://www.imdb.com/title/tt1778304/,5.9,4980,2011,0,0,0,0,0,0,1,0,0,0,,,,
RTL Film Episode #9.11 (TV Episode 2010),http://www.imdb.com/title/tt1779225/,,1500,2010,0,0,0,0,0,0,0,0,0,0,,,,
Portlandia (TV Series 2011– ),http://www.imdb.com/title/tt1780441/,7.8,1320,2011,0,0,0,1,0,0,0,0,0,0,,,,
Spezialagent Oso A View to a Goal/Sweep Another Day (TV Episode 2011),http://www.imdb.com/title/tt1780501/,,,2011,0,1,0,0,0,0,0,0,0,0,,,,
Zeitgeist: Moving Forward (2011),http://www.imdb.com/title/tt1781069/,8.3,9660,2011,0,0,0,0,0,0,0,0,0,0,,,,
Exit Humanity (2011),http://www.imdb.com/title/tt1781812/,5.4,6840,2011,0,0,0,0,0,1,1,0,0,0,,,,
Tristan's Story (2010),http://www.imdb.com/title/tt1781941/,,4200,2010,0,0,0,0,0,0,0,0,0,0,,,,
Edición Especial Coleccionista Hook (TV Episode 2010),http://www.imdb.com/title/tt1782057/,,540,2010,0,0,0,1,0,0,0,0,0,0,,,,
Dragonetti the Ruthless Contract Killer (2010),http://www.imdb.com/title/tt1782423/,3.7,6300,2010,1,0,0,0,0,0,0,0,0,0,,,,
Eroberung 1453 (2012),http://www.imdb.com/title/tt1783232/,7.6,9600,2012,1,1,0,0,0,1,0,0,0,0,,,,
Brigadoon (1954),http://www.imdb.com/title/tt0046807/,6.9,6480,1954,0,0,0,0,0,0,0,1,0,0,,,,
Hannah Mantegna (2010),http://www.imdb.com/title/tt1784465/,6.2,,2010,0,0,0,1,0,0,0,0,0,0,,,,
Miss Representation (2011),http://www.imdb.com/title/tt1784538/,7.7,5100,2011,0,0,0,0,0,0,0,0,0,0,,,,
Players (2012),http://www.imdb.com/title/tt1784589/,4,,2012,1,0,0,0,1,0,0,0,0,1,,,,
Storage Wars (TV Series 2010– ),http://www.imdb.com/title/tt1785123/,6.7,,2010,0,0,0,0,0,0,0,0,0,0,,,,
5 Second Movies Skyline (TV Episode 2010),http://www.imdb.com/title/tt1785693/,,,2010,0,0,0,1,0,0,0,0,0,0,,,,
Conan How the Grinch Stole Innocence (TV Episode 2010),http://www.imdb.com/title/tt1788031/,7.9,3600,2010,0,0,0,1,0,0,0,0,0,0,,,,
Fight for Your Right Revisited (2011),http://www.imdb.com/title/tt1791504/,8,1800,2011,0,0,0,1,0,0,0,0,0,0,,,,
Spoiler Wars (2002),http://www.imdb.com/title/tt1791610/,,360,2002,0,0,1,1,0,0,0,0,0,0,,,,
Mr. Sunshine The Assistant (TV Episode 2011),http://www.imdb.com/title/tt1792337/,7.4,,2011,0,0,0,1,0,0,0,0,0,0,,,,
Cirque Du Soleil: Traumwelten (2012),http://www.imdb.com/title/tt1792647/,6.7,5460,2012,0,0,0,0,0,0,0,0,0,0,,,,
The Tonight Show with Jay Leno Episode #19.57 (TV Episode 2010),http://www.imdb.com/title/tt1793163/,,3720,2010,0,0,0,1,0,0,0,0,0,0,,,,
Suryavamsam (1998),http://www.imdb.com/title/tt1795665/,7.4,,1998,0,0,0,0,0,1,0,0,0,0,,,,
Homeland (TV Series 2011– ),http://www.imdb.com/title/tt1796960/,8.6,3600,2011,0,0,0,0,0,1,0,0,0,1,,,,
Der Mohnblumenberg (2011),http://www.imdb.com/title/tt1798188/,7.4,5460,2011,0,0,1,0,0,1,0,0,0,0,,,,
Bum Reviews (TV Series 2008– ),http://www.imdb.com/title/tt1798328/,7.3,,2008,0,0,0,1,0,0,0,0,0,0,,,,
The Many Faces of... (TV Series 2010– ),http://www.imdb.com/title/tt1802530/,7,3600,2010,0,0,0,0,0,0,0,0,0,0,,,,
Tala va mes (2011),http://www.imdb.com/title/tt1804642/,7.6,5820,2011,0,0,0,0,0,1,0,0,0,0,,,,
I Am Kalam (2010),http://www.imdb.com/title/tt1805263/,7.9,5280,2010,0,0,0,1,0,1,0,0,0,0,,,,
20 to 1 Our All Time Favourite Films (TV Episode 2010),http://www.imdb.com/title/tt1805531/,,3600,2010,0,0,0,0,0,0,0,0,0,0,,,,
Midnight Movie Review (TV Series 2010– ),http://www.imdb.com/title/tt1807416/,7.9,600,2010,0,0,0,0,0,0,0,0,0,0,,,,
The Confession - Die Beichte (TV Series 2011– ),http://www.imdb.com/title/tt1809362/,7.9,,2011,1,0,0,0,1,1,0,0,0,0,,,,
Pointless Episode #3.7 (TV Episode 2010),http://www.imdb.com/title/tt1809956/,,2700,2010,0,0,0,0,0,0,0,0,0,0,,,,
The Tonight Show with Jay Leno Episode #19.71 (TV Episode 2011),http://www.imdb.com/title/tt1810378/,,3720,2011,0,0,0,1,0,0,0,0,0,0,,,,
The 68th Annual Golden Globe Awards (TV Movie 2011),http://www.imdb.com/title/tt1810776/,7.2,,2011,0,0,0,0,0,0,0,0,0,0,,,,
Von der Polizei gehetzt (1954),http://www.imdb.com/title/tt0046878/,7.4,4380,1954,0,0,0,0,1,1,0,0,0,0,,,,
Underground - Tödliche Bestien (2011),http://www.imdb.com/title/tt1811371/,3.8,4980,2011,0,0,0,0,0,0,1,0,0,0,,,,
TRON: Der Aufstand (TV Series 2012– ),http://www.imdb.com/title/tt1812523/,8.2,1800,2012,1,1,1,0,0,0,0,0,0,0,,,,
The Hour Episode #7.72 (TV Episode 2011),http://www.imdb.com/title/tt1812631/,,3600,2011,0,0,0,1,0,0,0,0,0,0,,,,
Midnight Movie Review Halloween Horror Top 25\,midnight movie review halloween horror top nr drag me to hell tv episode,http://www.imdb.com/title/tt1814187/,,600,2,0,0,0,0,1,0,0,0,0,0,,,
Cinderella Story - Es war einmal ein Lied (Video 2011),http://www.imdb.com/title/tt1814614/,6.2,5280,2011,0,0,0,1,0,0,0,1,0,0,,,,
Project Nim (2011),http://www.imdb.com/title/tt1814836/,7.4,5580,2011,0,0,0,0,0,0,0,0,0,0,,,,
Nitro Circus 3D - Der Film (2012),http://www.imdb.com/title/tt1815852/,6.7,5520,2012,1,0,0,1,0,0,0,0,0,0,,,,
After Earth (2013),http://www.imdb.com/title/tt1815862/,5,6000,2013,1,1,0,0,0,0,0,0,1,0,,,,
Ernest & Célestine (2012),http://www.imdb.com/title/tt1816518/,7.9,4800,2012,0,0,1,1,0,1,0,0,0,0,,,,
Conan A Fistful of Dollars\,conan a fistful of dollars a mouthful of travelers cheques tv episode,http://www.imdb.com/title/tt1816777/,12,3600,3,0,0,0,1,0,0,0,0,1,0,,,
The Hour Episode #7.78 (TV Episode 2011),http://www.imdb.com/title/tt1818283/,,3600,2011,0,0,0,1,0,0,0,0,0,0,,,,
Bad Movie Beatdown (TV Series 2009– ),http://www.imdb.com/title/tt1818548/,7.3,,2009,0,0,0,1,0,0,0,0,0,0,,,,
Don't Trust the B---- in Apartment 23 (TV Series 2012–2013),http://www.imdb.com/title/tt1819509/,7.1,1320,2012,0,0,0,1,0,0,0,0,0,0,,,,
Der Seeräuber (1926),http://www.imdb.com/title/tt0016654/,7.2,5280,1926,1,1,0,0,0,0,0,0,0,0,,,,
R.E.D. 2 - Noch Älter. Härter. Besser. (2013),http://www.imdb.com/title/tt1821694/,6.7,6960,2013,1,0,0,1,1,0,0,0,0,0,,,,
Conan Something Smelly That Way Went (TV Episode 2011),http://www.imdb.com/title/tt1822462/,8.1,3600,2011,0,0,0,1,0,0,0,0,0,0,,,,
Appunti per un viaggio alle radici dell'emigrazione vista al cinema... (2010),http://www.imdb.com/title/tt1823070/,,3120,2010,0,0,0,0,0,0,0,0,0,0,,,,
We Steal Secrets: Die WikiLeaks Geschichte (2013),http://www.imdb.com/title/tt1824254/,6.8,7800,2013,0,0,0,0,0,0,0,0,0,0,,,,
Pandaerne (TV Series 2011– ),http://www.imdb.com/title/tt1824619/,6.6,1320,2011,0,0,1,0,0,0,0,0,0,0,,,,
New Girl (TV Series 2011– ),http://www.imdb.com/title/tt1826940/,7.9,1800,2011,0,0,0,1,0,0,0,0,0,0,,,,
Conan Who Will Cry for the Third Nipple? (TV Episode 2011),http://www.imdb.com/title/tt1827023/,7.5,3600,2011,0,0,0,1,0,0,0,0,0,0,,,,
Conan A Finger Un-Pulled (TV Episode 2011),http://www.imdb.com/title/tt1827024/,7.8,3600,2011,0,0,0,1,0,0,0,0,0,0,,,,
Auf gefährlicher Straße (1954),http://www.imdb.com/title/tt0046935/,6.7,4980,1954,0,0,0,0,1,1,0,0,0,0,,,,
Timeshift Between the Lines: Railways in Fiction and Film (TV Episode 2008),http://www.imdb.com/title/tt1827306/,,3600,2008,0,0,0,0,0,0,0,0,0,0,,,,
Once Upon a Time in Anatolia (2011),http://www.imdb.com/title/tt1827487/,7.8,9780,2011,0,0,0,0,1,1,0,0,0,0,,,,
Maltin on Movies Romantic Movies for Valentine's Day (TV Episode 2011),http://www.imdb.com/title/tt1827808/,,1800,2011,0,0,0,0,0,0,0,0,0,0,,,,
Hookman 2 (2013),http://www.imdb.com/title/tt1828200/,4.8,,2013,0,0,0,1,0,0,1,0,0,0,,,,
Les contes de la nuit (2011),http://www.imdb.com/title/tt1828229/,6.7,5040,2011,0,0,1,0,0,0,0,0,0,0,,,,
Meine Schwester Charlie - Der Film (TV Movie 2011),http://www.imdb.com/title/tt1828976/,6.9,5400,2011,0,0,0,1,0,1,0,0,0,0,,,,
Passion (2012),http://www.imdb.com/title/tt1829012/,5.3,6120,2012,0,0,0,0,1,1,0,0,0,0,,,,
Hart of Dixie (TV Series 2011– ),http://www.imdb.com/title/tt1832979/,7.8,3600,2011,0,0,0,1,0,1,0,1,0,0,,,,
Boss (TV Series 2011–2012),http://www.imdb.com/title/tt1833285/,8.1,3360,2011,0,0,0,0,1,1,0,0,0,0,,,,
Die Bettlerin von Notre Dame (1954),http://www.imdb.com/title/tt0046940/,5.1,5700,1954,0,1,0,0,0,1,0,0,0,0,,,,
The Nostalgia Critic The Lost World: Jurassic Park (TV Episode 2011),http://www.imdb.com/title/tt1835787/,6.8,1620,2011,0,0,0,1,0,0,0,0,0,0,,,,
Movie Star - Küssen bis zum Happy End (TV Movie 2011),http://www.imdb.com/title/tt1835977/,6.6,5640,2011,0,0,0,1,0,1,0,1,0,0,,,,
Winter's Tale (2014),http://www.imdb.com/title/tt1837709/,6.2,7080,2014,0,0,0,0,0,1,0,0,0,0,,,,
Sinuhe der Ägypter (1954),http://www.imdb.com/title/tt0046949/,6.6,8340,1954,0,0,0,0,0,1,0,0,0,0,,,,
RockStar (2011),http://www.imdb.com/title/tt1839596/,7.6,9540,2011,0,0,0,0,0,0,0,0,0,0,,,,
The Magic of Belle Isle - Ein verzauberter Sommer (2012),http://www.imdb.com/title/tt1839654/,7,6540,2012,0,0,0,1,0,1,0,0,0,0,,,,
Der Dieb der Worte (2012),http://www.imdb.com/title/tt1840417/,7.1,6120,2012,0,0,0,0,0,1,0,1,0,0,,,,
Secretos (2011),http://www.imdb.com/title/tt1841827/,,6240,2011,0,0,0,1,0,0,0,0,0,0,,,,
The Deconstructor Superheroes (TV Episode 2008),http://www.imdb.com/title/tt1842980/,,,2008,0,0,1,1,0,0,0,0,1,0,,,,
Once Upon a Time - Es war einmal ... (TV Series 2011– ),http://www.imdb.com/title/tt1843230/,8.1,3600,2011,0,1,0,0,0,0,0,1,0,0,,,,
Up All Night (TV Series 2011–2012),http://www.imdb.com/title/tt1843323/,6.4,,2011,0,0,0,1,0,0,0,0,0,0,,,,
Asb heyvan-e najibi ast (2011),http://www.imdb.com/title/tt1843849/,7.1,,2011,0,0,0,1,0,1,0,0,0,0,,,,
The Return of the First Avenger (2014),http://www.imdb.com/title/tt1843866/,8.2,8160,2014,1,1,0,0,0,0,0,0,1,0,,,,
American Horror Story (TV Series 2011– ),http://www.imdb.com/title/tt1844624/,8.4,3600,2011,0,0,0,0,0,1,1,0,0,0,,,,
The Orange British Academy Film Awards (2011),http://www.imdb.com/title/tt1845276/,6.1,,2011,0,0,0,0,0,0,0,0,0,0,,,,
2 Broke Girls (TV Series 2011– ),http://www.imdb.com/title/tt1845307/,7,1320,2011,0,0,0,1,0,0,0,0,0,0,,,,
French Can Can (1954),http://www.imdb.com/title/tt0046998/,7.5,5220,1954,0,0,0,1,0,1,0,0,0,0,,,,
Archer Pipeline Fever (TV Episode 2011),http://www.imdb.com/title/tt1845938/,7.8,1320,2011,1,0,1,1,0,0,0,0,0,0,,,,
Reality (2012),http://www.imdb.com/title/tt1846487/,6.7,6960,2012,0,0,0,1,0,1,0,0,0,0,,,,
The Tonight Show with Jay Leno Episode #19.105 (TV Episode 2011),http://www.imdb.com/title/tt1848666/,,3720,2011,0,0,0,1,0,0,0,0,0,0,,,,
The Tonight Show with Jay Leno Episode #19.106 (TV Episode 2011),http://www.imdb.com/title/tt1848667/,,3720,2011,0,0,0,1,0,0,0,0,0,0,,,,
Game Change - Der Sarah-Palin-Effekt (TV Movie 2012),http://www.imdb.com/title/tt1848902/,7.5,7080,2012,0,0,0,0,0,1,0,0,0,0,,,,
Mr Perfect (2011),http://www.imdb.com/title/tt1852036/,6.9,,2011,1,0,0,0,0,1,0,0,0,0,,,,
Tosh.0 Evolution of Dance Guy (Dance-Off) (TV Episode 2011),http://www.imdb.com/title/tt1853443/,7.3,1800,2011,0,0,0,1,0,0,0,0,0,0,,,,
Giovanna d'Arco al rogo (1954),http://www.imdb.com/title/tt0047026/,6,4800,1954,0,0,0,0,0,1,0,0,0,0,,,,
